〇 ling,xing,yuan
涻 she
涼 liang
涽 hun
涾 ta
涿 zhuo
淀 dian
淁 ji,qie
淂 de
淃 juan
淄 zi
淅 xi
淆 xiao
淇 qi
淈 gu,hu
淉 guan,guo
淊 han,yan
淋 lin
淌 chang,tang
淍 diao,zhou
淎 peng
淏 hao
淐 chang
淑 chu,shu
淒 qi,qian
淓 fang
淔 zhi
淕 lu
淖 chuo,nao,zhao,zhuo
淗 ju
淘 tao
淙 cong,shuang
淚 lei,li
淛 zhe
淜 peng,ping
淝 fei
淞 song
淟 tian
淠 pei,pi
淡 dan,tan,yan
淢 xu,yu
淣 ni
淤 yu
淥 lu
淦 gan,han
淧 mi
淨 cheng,jing
淩 ling
淪 guan,lun
淫 yan,yao,yin
淬 cui,zu
淭 qu
淮 huai
淯 yu
淰 na,nian,shen
深 shen
淲 biao,hu
淳 chun,zhun
淴 hu
淵 yuan
淶 lai
混 gun,hun,kun
淸 qing
淹 yan
淺 can,jian,qian,zan
添 tian
淼 miao
淽 zhi
淾 yin
淿 bo
渀 ben
渁 yuan
渂 min,wen
渃 re,ruo
渄 fei
清 qing
渆 yuan
渇 ke
済 ji
渉 she
渊 yuan
渋 se
渌 lu
渍 zi
渎 du
渏 yi
渐 jian
渑 mian,sheng
渒 pai
渓 xi
渔 yu
渕 yuan
渖 shen
渗 shen
渘 rou
渙 huan
渚 zhu
減 jian
渜 nuan
渝 yu
渞 qiu,wu
渟 ting
渠 ju,qu
渡 du
渢 fan,feng
渣 zha
渤 bo
渥 ou,wo,wu
渦 guo,wo
渧 di,ti
渨 wei
温 wen,yun
渪 ru
渫 die,qie,xie,yi,zha
測 ce
渭 wei
渮 he
港 gang,hong
渰 yan
渱 gong,hong
渲 xuan
渳 mi
渴 he,jie,kai,ke
渵 mao
渶 ying
渷 yan
游 liu,you
渹 hong,qing
渺 miao
渻 sheng
渼 mei
渽 zai
渾 gun,hun
渿 nai
湀 gui
湁 chi
湂 e
湃 ba,pai
湄 mei
湅 lan,lian
湆 qi
湇 qi
湈 mei
湉 tian
湊 cou
湋 wei
湌 can
湍 tuan,zhuan
湎 mian
湏 hui,min
湐 mo
湑 xu
湒 ji
湓 pen
湔 jian,qian,zan,zhan
湕 jian
湖 hu
湗 feng
湘 xiang
湙 yi
湚 yin
湛 chen,dan,jin,shen,tan,yin,zhan
湜 shi
湝 jie,xie
湞 cheng,zhen
湟 huang,kuang
湠 tan
湡 yu
湢 bi
湣 hun,mian,min
湤 shi
湥 tu
湦 sheng
湧 yong
湨 ju
湩 dong,tong
湪 nuan,tuan
湫 jiao,jiu,qiu
湬 jiao
湭 qiu
湮 yan,yin
湯 shang,tang,yang
湰 long
湱 huo
湲 yuan
湳 nan
湴 ban,pan
湵 you
湶 quan
湷 hun,zhuang
湸 liang
湹 chan
湺 xian
湻 chun
湼 nie
湽 zi
湾 wan
湿 shi
満 man
溁 ying
溂 la
溃 hui,kui
溄 feng
溅 jian
溆 xu
溇 lou
溈 wei
溉 gai,xie
溊 bo
溋 ying
溌 po
溍 jin
溎 gui,yan
溏 tang
源 yuan
溑 suo
溒 yuan
溓 lian,lin,nian,xian
溔 yao
溕 meng
準 zhun,zhuo
溗 cheng
溘 kai,ke
溙 tai
溚 da,ta
溛 wa
溜 liu
溝 gang,gou,kou
溞 sao
溟 mi,ming
溠 zha
溡 shi
溢 yi
溣 lun
溤 ma
溥 bo,bu,fu,po,pu
溦 mei,wei
溧 li
溨 zai
溩 wu
溪 qi,xi
溫 wen
溬 qiang
溭 ze
溮 shi
溯 shuo,su
溰 ai
溱 qin,zhen
溲 shao,sou
溳 yun
溴 chou,xiu
溵 yin
溶 rong
溷 hun
溸 su
溹 se,suo
溺 ni,niao,ruo
溻 ta
溼 shi
溽 ru
溾 ai
溿 pan
滀 chu,xu
滁 chu
滂 pang,peng
滃 weng
滄 cang
滅 mie
滆 ge
滇 dian,tian,zhen
滈 hao,xue
滉 huang
滊 qi,xi,xie
滋 ci,xuan,zi
滌 di
滍 zhi
滎 xing,ying
滏 fu
滐 jie
滑 gu,hua
滒 ge
滓 zi
滔 tao
滕 teng
滖 sui
滗 bi
滘 jiao
滙 hui
滚 gun
滛 yin
滜 gao
滝 long
滞 zhi
滟 yan
滠 she
满 man
滢 ying
滣 chun
滤 lv
滥 lan
滦 luan
滧 xiao,yao
滨 bin
滩 tan
滪 yu
滫 xiu
滬 hu
滭 bi
滮 biao
滯 chi,zhi
滰 jiang
滱 kou
滲 lin,qin,sen,shen
滳 shang
滴 di
滵 mi
滶 ao
滷 lu
滸 hu,xu
滹 hu
滺 you
滻 chan
滼 fan
滽 yong
滾 gun
滿 man,men
漀 qing
漁 yu
漂 biao,piao
漃 ji
漄 ya
漅 chao
漆 qi,qie
漇 xi
漈 ji
漉 lu
漊 lou,lv
漋 long
漌 jin
漍 guo
漎 cong,song
漏 lou
漐 zhi
漑 gai
漒 qiang
漓 li
演 yan
漕 cao
漖 jiao
漗 cong
漘 chun
漙 tuan,zhuan
漚 ou
漛 teng
漜 ye
漝 xi
漞 mi
漟 tang
漠 mo
漡 shang,tang
漢 han,tan
漣 lan,lian
漤 lan
漥 wa
漦 chi,tai
漧 gan
漨 beng,feng,peng
漩 xuan
漪 yi
漫 man
漬 qi,se,zi
漭 mang
漮 kang
漯 lei,luo,ta
漰 peng
漱 shu
漲 zhang
漳 zhang
漴 chong,chuang,shuang,zhuang
漵 xu
漶 huan
漷 huo,kuo
漸 chan,jian,qian
漹 yan
漺 chuang,shuang
漻 liao,liu,xiao
漼 cui
漽 ti
漾 yang
漿 jiang
潀 cong
潁 ying
潂 hong
潃 xiu
潄 shu
潅 guan
潆 ying
潇 xiao
潈 zong
潉 kun
潊 xu
潋 lian
潌 zhi
潍 wei
潎 pi,piao,pie
潏 jue,shu,yu
潐 jiao,qiao
潑 bo,po
潒 dang,xiang,yang
潓 hui
潔 jie
潕 wu
潖 pa
潗 ji
潘 bo,fan,pan
潙 gui,wei
潚 sou,su,xiao
潛 qian
潜 qian
潝 xi,ya
潞 lu
潟 xi
潠 sun,xun
潡 dun
潢 guang,huang
潣 min
潤 run
潥 su
潦 lao,liao
潧 zhen
潨 cong,zong
潩 yi
潪 zhe,zhi
潫 wan
潬 shan,tan
潭 dan,tan,xun,yin
潮 chao
潯 xun,yin
潰 kui,xie
潱 ye
潲 shao
潳 tu,zha
潴 zhu
潵 sa,san
潶 hei
潷 bi
潸 shan
潹 chan
潺 chan
潻 shu
潼 chong,tong,zhong
潽 pu
潾 lin
潿 wei
澀 se
澁 se
澂 cheng
澃 jiong
澄 cheng,deng
澅 hua
澆 ao,jiao,nao
澇 lao
澈 che
澉 gan,han
澊 cun
澋 hong
澌 si
澍 shu,zhu
澎 peng
澏 han
澐 yun
澑 liu
澒 hong
澓 fu
澔 hao
澕 he
澖 xian
澗 jian
澘 shan
澙 xi
澚 yu
澛 lu
澜 lan
澝 ning
澞 yu
澟 lin
澠 mian,sheng
澡 cao,zao
澢 dang
澣 han,huan
澤 duo,shi,yi,ze
澥 xie
澦 yu
澧 li
澨 cuo,shi
澩 xiao,xue
澪 ling
澫 man,ou,wan
澬 ci,zi
澭 yong
澮 hua,hui,kuai
澯 can
澰 lian
澱 dian
澲 ye
澳 ao,yu
澴 huan,xuan
澵 zhen
澶 chan,dan,zhan
澷 man
澸 dan
澹 dan,shan,tan
澺 yi
澻 sui
澼 pi
澽 ju
澾 ta
澿 qin
激 ji,jiao
濁 zhuo
濂 lian,xian
濃 nong
濄 guo,wo
濅 jin
濆 fen,pen
濇 se
濈 ji,sha
濉 sui
濊 hui,huo,wei
濋 chu
濌 ta
濍 song
濎 ding,ting
濏 se
濐 zhu
濑 lai
濒 bin
濓 lian
濔 mi,ni
濕 shi,ta,xi
濖 shu
濗 mi
濘 ni,ning
濙 ying
濚 ying
濛 meng
濜 jin
濝 qi
濞 bi,pi
濟 ji,qi
濠 hao
濡 er,nuan,nuo,ru,ruan
濢 cui,zui
濣 wo
濤 chao,dao,shou,tao
濥 yin
濦 yin
濧 dui
濨 ci
濩 hu,huo
濪 qing
濫 jian,lan
濬 jun,xun
濭 ai,kai,ke
濮 pu
濯 shuo,zhao,zhuo
濰 wei
濱 bin
濲 gu
濳 qian
濴 ying
濵 bin
濶 kuo
濷 fei
濸 cang
濹 me
濺 jian,zan
濻 wei
濼 li,luo,po
濽 zan
濾 lv
濿 li
瀀 you
瀁 yang
瀂 lu
瀃 si
瀄 zhi
瀅 jiong,ying
瀆 dou,du
瀇 wang
瀈 hui
瀉 xie
瀊 pan
瀋 chen,pan,shen
瀌 biao
瀍 chan
瀎 mie,mo
瀏 liu
瀐 jian
瀑 bao,bo,pu
瀒 se
瀓 cheng
瀔 gu
瀕 bin
瀖 huo
瀗 xian
瀘 lu
瀙 qin
瀚 han
瀛 ying
瀜 rong
瀝 li
瀞 jing
瀟 xiao
瀠 ying
瀡 sui
瀢 dui,wei
瀣 xie
瀤 huai,wai
瀥 xue
瀦 zhu
瀧 long,shuang
瀨 lai
瀩 dui
瀪 fan
瀫 hu
瀬 lai
瀭 shu
瀮 ling
瀯 ying
瀰 mi,ni
瀱 ji
瀲 lian
瀳 jian,zun
瀴 ying
瀵 fen
瀶 lin
瀷 yi
瀸 jian
瀹 yao,yue
瀺 chan
瀻 dai
瀼 nang,rang
瀽 jian
瀾 lan
瀿 fan
灀 shuang
灁 yuan
灂 jiao,ze,zhuo
灃 feng
灄 ni,she
灅 lei
灆 lan
灇 cong
灈 qu
灉 yong
灊 qian
灋 fa
灌 guan,huan
灍 jue
灎 yan
灏 hao
灐 ying
灑 li,sa,shi,xi,xian
灒 cuan,qian,za,zan
灓 luan
灔 yan
灕 li
灖 mi
灗 shan
灘 han,nan,tan
灙 dang
灚 jiao
灛 chan
灜 ying
灝 hao
灞 ba
灟 zhu
灠 lan
灡 lan
灢 nang
灣 wan
灤 luan
灥 quan,xun
灦 xian
灧 yan
灨 gan
灩 yan
灪 yu
火 huo
灬 biao,huo
灭 mie
灮 guang
灯 deng,ding
灰 hui
灱 xiao
灲 xiao
灳 hui
灴 hong
灵 ling
灶 zao
灷 zhuan
灸 jiu
灹 yu,zha
灺 xie
灻 chi
灼 zhuo
災 zai
灾 zai
灿 can
炀 yang
炁 qi
炂 zhong
炃 ben,fen
炄 niu
炅 gui,jiong
炆 wen
炇 pu
炈 yi
炉 lu
炊 chui
炋 pi
炌 kai
炍 pan
炎 tan,yan
炏 kai,yan
炐 feng,pang
炑 mu
炒 chao
炓 liao
炔 gui,que,xue
炕 hang,kang
炖 dun,tun
炗 guang
炘 xin
炙 zhi
炚 guang
炛 guang
炜 wei
炝 qiang
炞 bian
炟 da
炠 xia
炡 zheng
炢 zhu
炣 ke
炤 zhao
炥 fu
炦 ba
炧 xie
炨 xie
炩 ling
炪 chu,zhuo
炫 xuan
炬 ju
炭 tan
炮 bao,pao
炯 jiong
炰 fou,pao
炱 tai
炲 tai
炳 bing
炴 yang
炵 tong
炶 shan
炷 zhu
炸 zha
点 dian
為 wei
炻 shi
炼 lian
炽 chi
炾 huang
炿 zhou
烀 hu
烁 shuo
烂 lan
烃 ting
烄 jiao,yao
烅 xu
烆 heng
烇 quan
烈 lie
烉 huan
烊 yang
烋 xiao,xiu
烌 xiu
烍 xian
烎 yin
烏 wu,ya
烐 zhou
烑 yao
烒 shi
烓 wei
烔 dong,tong
烕 mie
烖 zai
烗 kai
烘 hong
烙 lao,luo
烚 xia
烛 chong,zhu
烜 hui,xuan
烝 zheng
烞 po
烟 yan,yin
烠 ai,hui
烡 guang
烢 che
烣 hui
烤 kao
烥 ju
烦 fan
烧 shao
烨 ye
烩 hui
烫 tang
烬 jin
热 re
烮 lie
烯 xi
烰 fu
烱 jiong
烲 che,xie
烳 pu
烴 jing,ting
烵 zhuo
烶 ting
烷 wan
烸 hai
烹 peng
烺 lang
烻 shan,yan
烼 xu
烽 feng
烾 chi
烿 rong
焀 hu
焁 xi
焂 shu
焃 he,huo
焄 hun,xun
焅 kao,ku
焆 juan,ye,yuan,yue
焇 xiao
焈 xi
焉 yan,yi
焊 han
焋 zhuang
焌 jun,qu
焍 di
焎 xie
焏 ji,qi
焐 wu
焑 yan
焒 lv
焓 han
焔 yan
焕 huan
焖 men
焗 ju
焘 dao,tao
焙 bei
焚 fen
焛 lin
焜 kun
焝 hun
焞 jun,tui,tun
焟 xi
焠 cui
無 mo,wu
焢 hong
焣 chao,ju
焤 fu
焥 ai,wo
焦 jiao,qiao
焧 cong
焨 feng
焩 ping
焪 qiong
焫 re,ruo
焬 xi,yi
焭 qiong
焮 xin
焯 chao,chuo,zhuo
焰 yan
焱 yan,yi
焲 yi
焳 jue
焴 yu
焵 gang
然 ran
焷 pi
焸 gu,xiong,ying
焹 gang
焺 sheng
焻 chang,gua
焼 shao
焽 xiong
焾 nian
焿 geng
煀 wei
煁 chen
煂 he
煃 kui
煄 zhong
煅 duan
煆 xia
煇 hui,hun,xuan,xun,yun
煈 feng
煉 lan,lian
煊 xuan
煋 xing
煌 huang
煍 jiao
煎 jian
煏 bi
煐 ying
煑 zhu
煒 hui,wei
煓 tuan
煔 qian,shan
煕 xi
煖 nuan,xuan
煗 nuan
煘 chan
煙 yan
煚 jiong
煛 jiong
煜 yu
煝 mei
煞 sha
煟 wei
煠 ye,zha
煡 jin
煢 qiong
煣 rou
煤 mei
煥 huan
煦 xiu,xu
照 zhao
煨 wei,yu
煩 fan
煪 qiu
煫 sui
煬 yang
煭 lie
煮 zhu
煯 jie
煰 zao
煱 gua
煲 bao
煳 hu
煴 wen,yun
煵 nan
煶 shi
煷 liang
煸 bian
煹 gou
煺 tui
煻 tang
煼 chao
煽 shan
煾 en,yun
煿 bo
熀 huang,ye
熁 xie
熂 xi
熃 wu
熄 xi
熅 yun
熆 he
熇 he,kao,xiao
熈 xi
熉 yun
熊 xiong
熋 nai
熌 shan
熍 qiong
熎 yao
熏 xun
熐 mi
熑 lian,qian
熒 jiong,xing,ying
熓 wu
熔 rong
熕 gong
熖 yan
熗 qiang
熘 liu
熙 xi,yi
熚 bi
熛 biao
熜 cong,zong
熝 ao,lu
熞 jian
熟 shou,shu
熠 yi
熡 lou
熢 beng,feng,peng
熣 cui,sui
熤 yi
熥 teng,tong
熦 jue
熧 zong
熨 wei,yu,yun
熩 hu
熪 yi
熫 zhi
熬 ao
熭 wei
熮 liu
熯 han,ran
熰 ou
熱 re
熲 jiong
熳 man
熴 kun
熵 shang
熶 cuan
熷 zeng
熸 jian
熹 xi
熺 xi
熻 xi
熼 yi
熽 xiao
熾 chi
熿 huang
燀 chan,dan
燁 ye
燂 qian,tan,xun
燃 ran
燄 yan
燅 xun
燆 qiao,xiao
燇 jun
燈 deng
燉 dun,tun
燊 shen
燋 jiao,jue,qiao,zhuo
燌 ben,fen
燍 si,xi
燎 liao
燏 yu
燐 lin
燑 tong
燒 shao
燓 fen
燔 fan,fen
燕 yan
燖 qian,xun
燗 lan
燘 mei
燙 dang,tang
燚 yi
燛 jiong
燜 men
燝 jing
燞 jiao
營 cuo,ying
燠 ao,yu
燡 yi
燢 xue
燣 lan
燤 lie,tai
燥 sao,zao
燦 can
燧 sui
燨 xi
燩 que
燪 zong
燫 lian
燬 hui
燭 kuo,zhu
燮 xie
燯 ling
燰 wei
燱 yi
燲 xie
燳 zhao
燴 hui
燵 da
燶 nong
燷 lan
燸 ru,ruan
燹 bing,xian
燺 he
燻 xun
燼 jin
燽 chou
燾 dao,tao
燿 shao,shuo,yao
爀 he
爁 lan
爂 biao
爃 rong
爄 li,lie
爅 mo
爆 bao,bo
爇 ruo
爈 lv
爉 la,lie
爊 ao
爋 xun
爌 huang,kuang
爍 luo,shuo,yue
爎 liao
爏 li
爐 lu
爑 jue
爒 liao
爓 xun,yan
爔 xi
爕 xie
爖 long
爗 ye
爘 can
爙 rang
爚 yue
爛 lan
爜 cong
爝 jiao,jue
爞 chong,tong
爟 guan
爠 ju
爡 che
爢 mi
爣 tang
爤 lan
爥 zhu
爦 lan
爧 ling
爨 cuan
爩 yu
爪 zhao,zhua
爫 zhao
爬 pa
爭 zheng
爮 pao
爯 cheng
爰 yuan
爱 ai
爲 wei
爳 han
爴 jue
爵 jue
父 fu
爷 ye
爸 ba
爹 die
爺 ye
爻 xiao,yao
爼 zu
爽 shuang
爾 er,mi,ni
爿 pan,qiang
牀 chuang
牁 ke
牂 zang
牃 die
牄 qiang
牅 yong
牆 qiang
片 pan,pian
版 ban
牉 pan
牊 chao
牋 jian
牌 pai
牍 du
牎 chuang
牏 yu
牐 zha
牑 bian,mian
牒 die
牓 bang,pang
牔 bo
牕 chuang
牖 you
牗 you
牘 du
牙 ya
牚 cheng
牛 niu
牜 niu
牝 pin
牞 jiu,le
牟 mao,mou,mu
牠 ta,tuo
牡 mu
牢 lao,lou
牣 ren
牤 mang
牥 fang
牦 mao
牧 mu
牨 gang
物 wu
牪 yan
牫 ge,qiu,zang
牬 bei
牭 si
牮 jian
牯 gu
牰 chou,you
牱 ge
牲 sheng
牳 mu
牴 di,zhai
牵 qian
牶 quan
牷 quan
牸 zi
特 te
牺 xi
牻 mang
牼 keng
牽 qian
牾 wu
牿 gu
犀 xi
犁 li
犂 li
犃 pou
犄 ji,yi
犅 gang
犆 te,zhi
犇 ben
犈 quan
犉 chun
犊 du
犋 ju
犌 jia
犍 jian,qian
犎 feng
犏 pian
犐 ke
犑 ju
犒 kao
犓 chu
犔 xi
犕 bei
犖 luo
犗 jie
犘 ma
犙 san
犚 wei
犛 li,mao
犜 dun
犝 tong
犞 qiao
犟 jiang
犠 xi
犡 li
犢 du
犣 lie
犤 pai
犥 pao,piao
犦 bo
犧 suo,xi
犨 chou
犩 wei
犪 kui,rao
犫 chou
犬 quan
犭 quan
犮 ba
犯 fan
犰 qiu
犱 ji
犲 chai
犳 zhuo
犴 an,han,jian
犵 ge,he
状 zhuang
犷 guang
犸 ma
犹 you
犺 gang,kang
犻 bo,fei,pei
犼 hou
犽 ya
犾 yin
犿 fan,huan
狀 zhuang
狁 yun
狂 jue,kuang
狃 niu,nv
狄 di,ti
狅 kuang
狆 zhong
狇 mu
狈 bei
狉 pi
狊 ju
狋 chi,quan,yi
狌 sheng,xing
狍 pao
狎 xia
狏 tuo,yi
狐 hu
狑 ling
狒 fei
狓 pi
狔 ni
狕 yao
狖 you
狗 gou
狘 xue
狙 ju
狚 dan
狛 bo
狜 ku
狝 xian
狞 ning
狟 heng,huan,xuan
狠 hang,hen,ken,yan
狡 jiao,xiao
狢 he,mo
狣 zhao
狤 ji,jie,kuai
狥 xun
狦 shan
狧 shi,ta
狨 rong
狩 shou
狪 dong,tong
狫 lao
独 du
狭 xia
狮 shi
狯 kuai
狰 zheng
狱 yu
狲 sun
狳 yu
狴 bi
狵 mang,zhuo
狶 shi,xi
狷 juan
狸 li
狹 xia
狺 yin
狻 jun,suan,xun
狼 hang,lang
狽 bei
狾 zhi
狿 yan
猀 sha
猁 li
猂 han
猃 xian
猄 jing
猅 pai
猆 fei
猇 xiao
猈 bai,pi
猉 qi
猊 ni
猋 biao
猌 yin
猍 lai
猎 lie,que,xi
猏 jian
猐 qiang
猑 kun
猒 yan
猓 guo,luo
猔 zong
猕 mi
猖 chang
猗 e,ji,wei,yi
猘 zhi
猙 zheng
猚 wei,ya
猛 meng
猜 cai
猝 cu
猞 she
猟 lie
猠 dian
猡 luo
猢 hu
猣 zong
猤 gui
猥 wei
猦 feng
猧 wo
猨 yuan
猩 xing
猪 zhu
猫 mao,miao
猬 wei
猭 chuan,shan
献 xian
猯 tuan
猰 jia,qie,ya
猱 nao
猲 ge,hai,he,xie
猳 jia
猴 hou
猵 bian,pian
猶 yao,you
猷 you
猸 mei
猹 cha
猺 yao
猻 sun
猼 bo,po
猽 ming
猾 hua
猿 yuan
獀 sou
獁 ma
獂 yuan
獃 ai,dai
獄 yu
獅 shi
獆 hao
獇 qiang
獈 yi
獉 zhen
獊 cang
獋 gao,hao
獌 man
獍 jing
獎 jiang
獏 mo,mu
獐 zhang
獑 chan
獒 ao
獓 ao
獔 hao
獕 cui
獖 ben,fen
獗 jue
獘 bi
獙 bi
獚 huang
獛 pu
獜 lin
獝 xu,yu
獞 tong,zhuang
獟 xiao,yao
獠 lao,liao
獡 shuo
獢 xiao
獣 shou
獤 dun
獥 jiao
獦 ge,lie,xie
獧 juan
獨 du
獩 hui
獪 hua,kuai
獫 xian
獬 ha,jie,xie
獭 ta
獮 mi,xian
獯 xun
獰 ning
獱 bian
獲 huo
獳 nou,ru
獴 meng
獵 lie
獶 nao,you
獷 guang,jing
獸 shou
獹 lu
獺 ta
獻 suo,xi,xian
獼 mi
獽 rang
獾 huan,quan
獿 nao
玀 e,luo
玁 xian
玂 qi
玃 jue
玄 xuan
玅 miao,yao
玆 xuan,zi
率 lv,lve,shuai
玈 lu
玉 yu
玊 su
王 wang,yu
玌 qiu
玍 ga
玎 ding
玏 le
玐 ba
玑 ji
玒 hong
玓 di
玔 chuan
玕 gan
玖 jiu
玗 yu
玘 qi
玙 yu
玚 chang,yang
玛 ma
玜 hong
玝 wu
玞 fu
玟 min,wen
玠 jie
玡 ya
玢 bin,fen
玣 bian
玤 bang
玥 yue
玦 jue
玧 men,yun
玨 jue
玩 wan
玪 jian,lin,qian,yin
玫 mei
玬 dan
玭 pin
玮 wei
环 huan
现 xian
玱 qiang
玲 ling
玳 dai
玴 yi
玵 an,gan
玶 ping
玷 dian
玸 fu
玹 xian,xuan
玺 xi
玻 bo
玼 ci,cuo
玽 gou
玾 jia
玿 shao
珀 po
珁 ci
珂 ke
珃 ran
珄 sheng
珅 shen
珆 tai,yi
珇 ju,zu
珈 jia
珉 min
珊 shan
珋 liu
珌 bi
珍 zhen
珎 zhen
珏 jue
珐 fa
珑 long
珒 jin
珓 jiao
珔 jian
珕 li
珖 guang
珗 xian
珘 zhou
珙 gong
珚 yan
珛 xiu
珜 yang
珝 xu
珞 li,luo
珟 su
珠 zhu
珡 qin
珢 ken,yin
珣 xun
珤 bao
珥 er
珦 xiang
珧 yao
珨 xia
珩 hang,heng
珪 gui
珫 chong
珬 xu
班 ban
珮 pei
珯 lao
珰 dang
珱 ying
珲 hui,hun
珳 wen
珴 e
珵 cheng,ting
珶 di,ti
珷 wu
珸 wu
珹 cheng
珺 jun
珻 mei
珼 bei
珽 ting
現 xian
珿 chu
琀 han
琁 qiong,xuan
琂 yan
球 qiu
琄 xuan
琅 lang
理 li
琇 xiu
琈 fu
琉 liu
琊 ya
琋 xi
琌 ling
琍 li
琎 jin
琏 lian
琐 suo
琑 suo
琒 feng
琓 wan
琔 dian
琕 bing,pin
琖 zhan
琗 cui,se
琘 min
琙 yu
琚 ju
琛 chen
琜 lai
琝 min
琞 sheng,wang
琟 wei,yu
琠 tian
琡 chu
琢 zhuo,zuo
琣 beng,pei
琤 cheng
琥 hu
琦 qi
琧 e
琨 kun
琩 chang
琪 qi
琫 beng
琬 wan
琭 lu
琮 cong
琯 guan,gun
琰 yan
琱 diao
琲 bei
琳 lin
琴 qin
琵 pi
琶 pa
琷 que
琸 zhuo
琹 qin
琺 fa
琻 jin
琼 qiong
琽 du
琾 jie
琿 hui,hun
瑀 yu
瑁 mao
瑂 mei
瑃 chun
瑄 xuan
瑅 ti
瑆 xing
瑇 dai
瑈 rou
瑉 min
瑊 jian
瑋 wei
瑌 ruan
瑍 huan
瑎 xie
瑏 chuan
瑐 jian
瑑 zhuan
瑒 chang,dang,yang
瑓 lian
瑔 quan
瑕 xia
瑖 duan
瑗 huan,yuan
瑘 ya
瑙 nao
瑚 hu
瑛 ying
瑜 yu
瑝 huang
瑞 rui
瑟 se
瑠 liu
瑡 shi
瑢 rong
瑣 suo
瑤 yao
瑥 wen
瑦 wu
瑧 zhen
瑨 jin
瑩 ying
瑪 ma
瑫 tao
瑬 liu
瑭 tang
瑮 li
瑯 lang
瑰 gui
瑱 tian,zhen
瑲 cang,cheng,qiang
瑳 cuo
瑴 jue
瑵 zhao
瑶 yao
瑷 ai
瑸 bin
瑹 shu,tu
瑺 chang
瑻 kun
瑼 zhuan
瑽 cong
瑾 jin
瑿 yi
璀 cui
璁 cong
璂 qi
璃 li
璄 jing
璅 suo,zao
璆 qiu
璇 xuan
璈 ao
璉 lian
璊 men
璋 zhang
璌 yin
璍 ye
璎 ying
璏 wei,zhi
璐 lu
璑 wu
璒 deng
璓 xiu
璔 zeng
璕 xun
璖 qu
璗 dang
璘 lin
璙 liao
璚 jue,qiong
璛 su
璜 huang
璝 gui
璞 pu
璟 jing
璠 fan
璡 jin
璢 liu
璣 ji
璤 hui
璥 jing
璦 ai
璧 bi
璨 can
璩 qu
璪 zao
璫 dang
璬 jiao
璭 gun
璮 tan
璯 hui,kuai
環 huan
璱 se
璲 sui
璳 tian
璴 chu
璵 yu
璶 jin
璷 fu,lu
璸 bin,pian
璹 shu
璺 wen
璻 zui
璼 lan
璽 xi
璾 ji,zi
璿 xuan
瓀 ruan
瓁 wo
瓂 gai
瓃 lei
瓄 du
瓅 li
瓆 zhi
瓇 rou
瓈 li
瓉 zan
瓊 qiong,xuan
瓋 ti
瓌 gui
瓍 sui
瓎 la
瓏 long
瓐 lu
瓑 li
瓒 zan
瓓 lan
瓔 ying
瓕 mi,xi
瓖 xiang
瓗 qiong,wei
瓘 guan
瓙 dao
瓚 zan
瓛 huan,yan,ye
瓜 gua
瓝 bo
瓞 die
瓟 bo,pao
瓠 gu,hu,huo
瓡 hu,zhi
瓢 piao
瓣 ban
瓤 rang
瓥 li
瓦 wa
瓨 hong,xiang
瓩 qian,wa
瓪 ban
瓫 pen
瓬 fang
瓭 dan
瓮 weng
瓯 ou
瓲 wa
瓳 hu
瓴 ling
瓵 yi
瓶 ping
瓷 ci
瓸 bai
瓹 juan
瓺 chang
瓻 chi
瓽 dang
瓾 meng
瓿 bu,pou
甀 zhui
甁 ping
甂 bian
甃 zhou
甄 juan,zhen
甆 ci
甇 ying
甈 qi
甉 xian
甊 lou
甋 di
甌 ou
甍 meng
甎 chuan,zhuan
甏 beng
甐 lin
甑 zeng
甒 wu
甓 pi
甔 dan
甕 weng
甖 ying
甗 yan
甘 gan,han
甙 dai
甚 shen
甛 tian
甜 tian
甝 han
甞 chang
生 sheng
甠 qing
甡 shen
產 chan
産 chan
甤 rui
甥 sheng
甦 su
甧 shen
用 yong
甩 shuai
甪 lu
甫 fu,pu
甬 dong,yong
甭 beng,qi
甮 feng
甯 ning
田 tian
由 yao,you
甲 jia
申 shen
甴 you,zha
电 dian
甶 fu
男 nan
甸 dian,sheng,tian,ying
甹 ping
町 ding,tian,ting,zheng
画 hua
甼 ting
甽 quan,zhen,zhun
甾 zai,zi
甿 mang,meng
畀 bi
畁 bi
畂 liu
畃 xun
畄 liu
畅 chang
畆 mu
畇 tian,yun
畈 fan
畉 fu
畊 geng
畋 tian
界 jie
畍 jie
畎 quan
畏 wei
畐 bi,fu
畑 tian
畒 mu
畓 duo
畔 pan
畕 jiang
畖 wa
畗 da,fu
畘 nan
留 liu
畚 ben
畛 zhen
畜 chu,xu
畝 mou,mu
畞 mu
畟 ce,ji
畠 tian
畡 gai
畢 bi
畣 da
畤 chou,shi,zhi
略 lve
畦 qi
畧 lve
畨 fan,pan
畩 yi
番 bo,fan,pan,pi,po
畫 hua
畬 she,yu
畭 yu
畮 mu
畯 jun
異 yi
畱 liu
畲 she
畳 die
畴 chou
畵 hua
當 dang
畷 zhui
畸 ji,qi
畹 wan,yuan
畺 jiang
畻 cheng
畼 chang
畽 tuan,tun
畾 lei
畿 ji
疀 cha
疁 liu
疂 die
疃 tuan
疄 lin
疅 jiang
疆 jiang
疇 chou
疈 pi
疉 die
疊 die
疋 pi,shu,ya
疌 jie,qie
疍 dan
疎 shu
疏 shu
